GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.javiermf.features.models,Product,45,74,2,8,10,19,5,12,4,8
JaCoCo Coverage Report,org.javiermf.features.models,QFeature,31,58,5,1,6,11,6,3,3,3
JaCoCo Coverage Report,org.javiermf.features.models,ProductConfiguration,24,80,0,2,7,25,4,13,4,12
JaCoCo Coverage Report,org.javiermf.features.models,Feature,38,42,6,0,10,13,7,7,4,7
JaCoCo Coverage Report,org.javiermf.features.models,QProduct,34,71,0,0,2,9,1,3,1,3
JaCoCo Coverage Report,org.javiermf.features.models,QProductConfiguration,31,58,5,1,6,11,6,3,3,3
JaCoCo Coverage Report,org.javiermf.features.daos,ProductsConfigurationsDAO,0,132,0,2,0,28,0,8,0,7
JaCoCo Coverage Report,org.javiermf.features.daos,ProductsDAO,0,159,0,4,0,35,0,12,0,10
JaCoCo Coverage Report,org.javiermf.features.services,ProductsConfigurationsService,17,124,1,5,4,29,1,11,0,9
JaCoCo Coverage Report,org.javiermf.features.services,ProductsService,9,173,0,6,3,44,0,15,0,12
JaCoCo Coverage Report,org.javiermf.features.models.evaluation,ConfigurationEvaluator,26,40,4,4,5,9,3,4,0,3
JaCoCo Coverage Report,org.javiermf.features.models.evaluation,EvaluationResult,0,16,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConstraintsResource,0,63,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsResource,0,46,0,0,0,10,0,8,0,8
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConfigurationResource,0,48,0,0,0,8,0,6,0,6
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsFeaturesResource,7,40,0,0,1,6,1,4,1,4
JaCoCo Coverage Report,org.javiermf.features.services.rest,ProductsConfigurationFeaturesResource,25,41,3,1,5,5,3,3,1,3
JaCoCo Coverage Report,org.javiermf.features,JerseyConfig,0,48,0,0,0,15,0,2,0,2
JaCoCo Coverage Report,org.javiermf.features,Application,5,3,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,org.javiermf.features,CORSFilter,1,36,1,1,1,11,2,3,1,3
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QConstraintRequires,79,0,4,0,17,0,8,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QFeatureConstraint,31,40,5,1,6,8,6,3,3,3
JaCoCo Coverage Report,org.javiermf.features.models.constraints,QConstraintExcludes,79,0,4,0,17,0,8,0,6,0
JaCoCo Coverage Report,org.javiermf.features.models.constraints,FeatureConstraint,4,10,0,0,2,4,1,3,1,3
JaCoCo Coverage Report,org.javiermf.features.models.constraints,ConstraintRequires,19,27,3,1,6,11,4,6,2,6
JaCoCo Coverage Report,org.javiermf.features.models.constraints,ConstraintExcludes,34,27,3,1,7,11,4,6,2,6
JaCoCo Coverage Report,org.javiermf.features.exceptions,WrongProductConfigurationException,13,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.javiermf.features.exceptions,DuplicatedObjectException,0,11,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.javiermf.features.exceptions,ObjectNotFoundException,0,11,0,0,0,2,0,1,0,1
